;Names;FA;FA StdDev;MD;MD StdDev;RD;RD StdDev;AD;AD StdDev;Time
108;Subject_020_S_6227;0.6862250758073566;0.1719733214675684;0.0009255190882881809;0.00031415974370212066;0.0004979053833139807;0.00037011995308613825;0.0017807464982365813;0.0002770493834237604;18.51
109;Subject_003_S_6259;0.6209422968198145;0.21378159502130156;0.0009224937102961982;0.0003352236575199218;0.0005614780441157298;0.00040222115253583246;0.001644525042657135;0.00029243530722630653;11.88
110;Subject_016_S_5057;0.67782084991911;0.23329564536784736;0.0009803068875413501;0.0004212795971807849;0.0005548890049282844;0.0004852113507227101;0.0018311426527674822;0.00036139423341362;8.47
111;Subject_003_S_6264;0.6469124566671098;0.19437315301532937;0.0008881876992089623;0.0003688682624922401;0.0005238652672555523;0.0004152557117340584;0.0016168325631157822;0.0003294630685421722;11.35
112;Subject_033_S_1016;0.6515695473304918;0.2056793668887938;0.0009118029545805438;0.00032253212696809836;0.0005252245274128623;0.0003947923540074309;0.0016849598089159073;0.0002803390969365406;11.19
113;Subject_003_S_7010;0.7071282122326382;0.17713101881614007;0.0008629876284934098;0.0003445399152165331;0.00044702408367448896;0.0003792134540078153;0.0016949147181312516;0.0003563530681662978;17.4
114;Subject_032_S_6055;0.6294741515292746;0.19557779284345328;0.0009250911663027739;0.00036995420994457835;0.0005552298421500599;0.0004206196497996851;0.0016648138146082017;0.0003520373642916899;15.62
115;Subject_016_S_6790;0.6873833797408021;0.2545796826516368;0.001059025674297506;0.0005019093049602633;0.0006027602614963769;0.0005924643511034817;0.001971556499899764;0.0003560839260074018;15.62
116;Subject_037_S_6125;0.6670165969265808;0.19198730943349454;0.0009072074650354658;0.0002504128897500693;0.0004997680584951763;0.00032172227811689776;0.0017220862781160448;0.00022656651107067288;8.76
117;Subject_094_S_4649;0.6075453734092188;0.1893953179931324;0.0009451198671922532;0.00030589134441388216;0.0005760611508098251;0.0003613020105693373;0.0016832372999571095;0.0003137263397881288;15.37
118;Subject_020_S_6282;0.644464368431536;0.18086863415154772;0.0009881766835857578;0.00040435750063761935;0.0005809253080262854;0.00045972701072102416;0.0018026794347047025;0.00035739886879788675;16.5
119;Subject_137_S_6919;0.6557369447862132;0.23653313971906076;0.0010033362430129833;0.0004771363207943797;0.0006007675236618085;0.0005411860029974859;0.001808473681715333;0.0004029108903323547;15.53
120;Subject_033_S_6697;0.630483526099486;0.2028224105756228;0.0008572710266563884;0.00032512453900012295;0.0005232542360223933;0.0003818820729616254;0.001525304607924379;0.0002878841960360814;9.74
121;Subject_003_S_6479;0.6384694460434316;0.17924186863481786;0.0008829231419095591;0.0003206910516983422;0.0005228229339656865;0.0003627330789534932;0.0016031235577973046;0.00029102706722316824;13.93
122;Subject_IXI167;0.6630919097181656;0.2003672583763696;0.0008837208126388124;0.0003459132790469795;0.0005078197062916997;0.0004125758655890437;0.001635523025333038;0.000277176157321061;18.03
123;Subject_IXI261;0.5854329429685431;0.2012908595397871;0.0009263991264575796;0.0002984519873673273;0.0005849999083608975;0.00035247047927302585;0.0016091975626509438;0.00029131209328528586;9.13
124;Subject_IXI057;0.6645553017609384;0.1673355144178395;0.0008992017334675358;0.00030191532886567334;0.0005037518021045155;0.0003409683272901453;0.0016901015961935761;0.0003067290312086981;8.0
125;Subject_IXI083;0.6361366880618783;0.15796968957601498;0.0008189432596368557;0.00019374257845108247;0.0004761983029731855;0.0002379655480561522;0.0015044331729641962;0.00021682000926623549;7.12
126;Subject_IXI104;0.6390514901225196;0.183793043659118;0.000905755154874893;0.0003292524637436702;0.0005390032321027111;0.0003900771239855413;0.001639259000419257;0.0002633881652955888;6.25
127;Subject_IXI568;0.6899107578849979;0.17178275442954297;0.0009003994186822428;0.0002977055204882087;0.0004813849006672405;0.00034053662196513945;0.0017384284547122474;0.00028742340450721335;6.59
128;Subject_IXI313;0.6373071856374871;0.20354957616728356;0.0009356830585483613;0.0003467845581278219;0.0005561583089021725;0.00040365033858397306;0.0016947325578407395;0.0003237566020592896;6.99
129;Subject_IXI635;0.6246130618828921;0.169041737976971;0.0008817474565081914;0.00026876082564422405;0.0005313896630638131;0.00032293940853177493;0.0015824630433969476;0.00020811672772256013;7.35
130;Subject_IXI327;0.6937044386123467;0.18920322559913338;0.0009151522817375092;0.0003543607486569277;0.0004906740052428829;0.00039708178458713596;0.0017641088347267618;0.000359062275335952;10.95
131;Subject_IXI609;0.621890460496326;0.1782735302159783;0.0009366878353725612;0.0003198127649621722;0.000560165437177462;0.0003398560370752756;0.0016897326317627595;0.0003932787967746213;10.5
132;Subject_IXI614;0.6433634729897755;0.1687271552507223;0.0008927498508635053;0.0002745262820536112;0.0005150999909623266;0.00031250313897245756;0.0016480495706658626;0.00033401506861670743;6.77
133;Subject_IXI384;0.700203465000691;0.17897629795422546;0.0008875704274910504;0.0002708990469941157;0.00046541634871545177;0.00032661260365396893;0.001731878585042248;0.000225756305254418;6.27
134;Subject_IXI049;0.628347346626801;0.17917719544295913;0.0008393720545896827;0.00027426966168481913;0.0004977061943551958;0.00032171134071586283;0.0015227037750586566;0.0002771201023872504;6.83
135;Subject_IXI128;0.6521554357349372;0.17554907855259316;0.0008685994198939413;0.00021382336051992717;0.0004898563400716248;0.0002755763825518463;0.0016260855795385747;0.00022968334680530217;6.36
136;Subject_IXI481;0.6877554351711908;0.19015112951236054;0.0009197425893024183;0.0003037766510943067;0.0004964294452879029;0.00035992936161543165;0.0017663688773314494;0.00026529533015230483;6.18
137;Subject_IXI072;0.6115805999699221;0.2071927907120978;0.0009727618038995602;0.00036681682794554416;0.0006066968119025123;0.0004427059224667382;0.0017048917878936562;0.00028695731516793923;10.44
138;Subject_IXI257;0.527592886425863;0.22915360551131547;0.0011623476924424018;0.00043060821948822417;0.0008145446700198938;0.0005229726736843919;0.0018579537372874176;0.00028562552673103316;6.23
139;Subject_IXI522;0.6349994108828568;0.18184350424948684;0.0008748624356412363;0.000281168991622613;0.0005109683460782822;0.0003261162308725835;0.0016026506147671447;0.0003179898011676106;6.14
